Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 24-Jan-2023,Total applicable ELM%
1,AARTIIND,OTH,3.5,0,3.5
2,AARTIIND,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABBOTINDIA,OTH,3.5,0,3.5
6,ABBOTINDIA,OTM,5.25,0,5.25
7,ABCAPITAL,OTH,3.5,0,3.5
8,ABCAPITAL,OTM,5.25,0,5.25
9,ABFRL,OTH,3.5,0,3.5
10,ABFRL,OTM,5.25,0,5.25
11,ACC,OTH,3.5,0,3.5
12,ACC,OTM,5.25,0,5.25
13,ADANIENT,OTH,3.5,0,3.5
14,ADANIENT,OTM,5.25,0,5.25
15,ADANIPORTS,OTH,3.5,0,3.5
16,ADANIPORTS,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,3.5,7
20,AMBUJACEM,OTM,5.25,5.25,10.5
21,APOLLOHOSP,OTH,3.5,0,3.5
22,APOLLOHOSP,OTM,5.25,0,5.25
23,APOLLOTYRE,OTH,3.5,0,3.5
24,APOLLOTYRE,OTM,5.25,0,5.25
25,ASHOKLEY,OTH,3.5,0,3.5
26,ASHOKLEY,OTM,5.25,0,5.25
27,ASIANPAINT,OTH,3.5,0,3.5
28,ASIANPAINT,OTM,5.25,0,5.25
29,ASTRAL,OTH,3.5,0,3.5
30,ASTRAL,OTM,5.25,0,5.25
31,ATUL,OTH,3.5,0,3.5
32,ATUL,OTM,5.25,0,5.25
33,AUBANK,OTH,3.5,0,3.5
34,AUBANK,OTM,5.25,0,5.25
35,AUROPHARMA,OTH,3.5,0,3.5
36,AUROPHARMA,OTM,5.25,0,5.25
37,AXISBANK,OTH,3.5,0,3.5
38,AXISBANK,OTM,5.25,0,5.25
39,BAJAJ-AUTO,OTH,3.5,0,3.5
40,BAJAJ-AUTO,OTM,5.25,0,5.25
41,BAJAJFINSV,OTH,3.5,0,3.5
42,BAJAJFINSV,OTM,5.25,0,5.25
43,BAJFINANCE,OTH,3.5,0,3.5
44,BAJFINANCE,OTM,5.25,0,5.25
45,BALKRISIND,OTH,3.5,0,3.5
46,BALKRISIND,OTM,5.25,0,5.25
47,BALRAMCHIN,OTH,3.5,1.75,5.25
48,BALRAMCHIN,OTM,5.25,2.63,7.88
49,BANDHANBNK,OTH,3.5,0,3.5
50,BANDHANBNK,OTM,5.25,0,5.25
51,BANKBARODA,OTH,3.5,0,3.5
52,BANKBARODA,OTM,5.25,0,5.25
53,BATAINDIA,OTH,3.5,0,3.5
54,BATAINDIA,OTM,5.25,0,5.25
55,BEL,OTH,3.5,0,3.5
56,BEL,OTM,5.25,0,5.25
57,BERGEPAINT,OTH,3.5,0,3.5
58,BERGEPAINT,OTM,5.25,0,5.25
59,BHARATFORG,OTH,3.5,0,3.5
60,BHARATFORG,OTM,5.25,0,5.25
61,BHARTIARTL,OTH,3.5,0,3.5
62,BHARTIARTL,OTM,5.25,0,5.25
63,BHEL,OTH,3.5,3.5,7
64,BHEL,OTM,5.25,5.25,10.5
65,BIOCON,OTH,3.5,0,3.5
66,BIOCON,OTM,5.25,0,5.25
67,BOSCHLTD,OTH,3.5,0,3.5
68,BOSCHLTD,OTM,5.25,0,5.25
69,BPCL,OTH,3.5,0,3.5
70,BPCL,OTM,5.25,0,5.25
71,BRITANNIA,OTH,3.5,0,3.5
72,BRITANNIA,OTM,5.25,0,5.25
73,BSOFT,OTH,3.5,0,3.5
74,BSOFT,OTM,5.25,0,5.25
75,CANBK,OTH,3.5,3.5,7
76,CANBK,OTM,5.25,5.25,10.5
77,CANFINHOME,OTH,3.5,0,3.5
78,CANFINHOME,OTM,5.25,0,5.25
79,CHAMBLFERT,OTH,3.5,0,3.5
80,CHAMBLFERT,OTM,5.25,0,5.25
81,CHOLAFIN,OTH,3.5,0,3.5
82,CHOLAFIN,OTM,5.25,0,5.25
83,CIPLA,OTH,3.5,0,3.5
84,CIPLA,OTM,5.25,0,5.25
85,COALINDIA,OTH,3.5,0,3.5
86,COALINDIA,OTM,5.25,0,5.25
87,COFORGE,OTH,3.5,0,3.5
88,COFORGE,OTM,5.25,0,5.25
89,COLPAL,OTH,3.5,0,3.5
90,COLPAL,OTM,5.25,0,5.25
91,CONCOR,OTH,3.5,0,3.5
92,CONCOR,OTM,5.25,0,5.25
93,COROMANDEL,OTH,3.5,0,3.5
94,COROMANDEL,OTM,5.25,0,5.25
95,CROMPTON,OTH,3.5,0,3.5
96,CROMPTON,OTM,5.25,0,5.25
97,CUB,OTH,3.5,0,3.5
98,CUB,OTM,5.25,0,5.25
99,CUMMINSIND,OTH,3.5,0,3.5
100,CUMMINSIND,OTM,5.25,0,5.25
101,DABUR,OTH,3.5,0,3.5
102,DABUR,OTM,5.25,0,5.25
103,DALBHARAT,OTH,3.5,0,3.5
104,DALBHARAT,OTM,5.25,0,5.25
105,DEEPAKNTR,OTH,3.5,0,3.5
106,DEEPAKNTR,OTM,5.25,0,5.25
107,DELTACORP,OTH,3.5,5.25,8.75
108,DELTACORP,OTM,5.25,7.88,13.13
109,DIVISLAB,OTH,3.5,0,3.5
110,DIVISLAB,OTM,5.25,0,5.25
111,DIXON,OTH,3.5,0,3.5
112,DIXON,OTM,5.25,0,5.25
113,DLF,OTH,3.5,0,3.5
114,DLF,OTM,5.25,0,5.25
115,DRREDDY,OTH,3.5,0,3.5
116,DRREDDY,OTM,5.25,0,5.25
117,EICHERMOT,OTH,3.5,0,3.5
118,EICHERMOT,OTM,5.25,0,5.25
119,ESCORTS,OTH,3.5,0,3.5
120,ESCORTS,OTM,5.25,0,5.25
121,EXIDEIND,OTH,3.5,0,3.5
122,EXIDEIND,OTM,5.25,0,5.25
123,FEDERALBNK,OTH,3.5,0,3.5
124,FEDERALBNK,OTM,5.25,0,5.25
125,FSL,OTH,3.5,0,3.5
126,FSL,OTM,5.25,0,5.25
127,GAIL,OTH,3.5,0,3.5
128,GAIL,OTM,5.25,0,5.25
129,GLENMARK,OTH,3.5,0,3.5
130,GLENMARK,OTM,5.25,0,5.25
131,GMRINFRA,OTH,3.5,0,3.5
132,GMRINFRA,OTM,5.25,0,5.25
133,GNFC,OTH,3.5,3.5,7
134,GNFC,OTM,5.25,5.25,10.5
135,GODREJCP,OTH,3.5,0,3.5
136,GODREJCP,OTM,5.25,0,5.25
137,GODREJPROP,OTH,3.5,0,3.5
138,GODREJPROP,OTM,5.25,0,5.25
139,GRANULES,OTH,3.5,0,3.5
140,GRANULES,OTM,5.25,0,5.25
141,GRASIM,OTH,3.5,0,3.5
142,GRASIM,OTM,5.25,0,5.25
143,GUJGASLTD,OTH,3.5,0,3.5
144,GUJGASLTD,OTM,5.25,0,5.25
145,HAL,OTH,3.5,0,3.5
146,HAL,OTM,5.25,0,5.25
147,HAVELLS,OTH,3.5,0,3.5
148,HAVELLS,OTM,5.25,0,5.25
149,HCLTECH,OTH,3.5,0,3.5
150,HCLTECH,OTM,5.25,0,5.25
151,HDFC,OTH,3.5,0,3.5
152,HDFC,OTM,5.25,0,5.25
153,HDFCAMC,OTH,3.5,0,3.5
154,HDFCAMC,OTM,5.25,0,5.25
155,HDFCBANK,OTH,3.5,0,3.5
156,HDFCBANK,OTM,5.25,0,5.25
157,HDFCLIFE,OTH,3.5,0,3.5
158,HDFCLIFE,OTM,5.25,0,5.25
159,HEROMOTOCO,OTH,3.5,0,3.5
160,HEROMOTOCO,OTM,5.25,0,5.25
161,HINDALCO,OTH,3.5,0,3.5
162,HINDALCO,OTM,5.25,0,5.25
